"ten","soHieu","ngayBanHanh","linhVuc","loaiVanBan","duongDanFile"
"Bộ luật Dân sự 2015","91/2015/QH13","24/11/2015","Bộ luật Dân sự","Bộ luật","documents/dan-su/bo-luat-dan-su-2015.docx"
"Nghị định 21/2021/NĐ-CP hướng dẫn Bộ luật Dân sự về bảo đảm thực hiện nghĩa vụ","21/2021/NĐ-CP","19/03/2021","Bộ luật Dân sự","Nghị định","documents/dan-su/nghi-đinh-212021nđ-cp-huong-dan-bo-luat-dan-su-ve-bao-đam-thuc-hien-nghia-vu.docx"
"Nghị định 22/2025/NĐ-CP về giao dịch điện tử trong lĩnh vực dân sự","22/2025/NĐ-CP","10/01/2025","Bộ luật Dân sự","Nghị định","documents/dan-su/nghi-đinh-222025nđ-cp-ve-giao-dich-đien-tu-trong-linh-vuc-dan-su.docx"
"Nghị quyết 04/2017/NQ-HĐTP hướng dẫn áp dụng một số quy định tại Bộ luật Dân sự","04/2017/NQ-HĐTP","05/05/2017","Bộ luật Dân sự","Nghị quyết","documents/dan-su/nghi-quyet-042017nq-hđtp-huong-dan-ap-dung-mot-so-quy-đinh-tai-bo-luat-dan-su.docx"
"Nghị định 48/2024/NĐ-CP sửa đổi Nghị định về đăng ký biện pháp bảo đảm","48/2024/NĐ-CP","09/05/2024","Bộ luật Dân sự","Nghị định","documents/dan-su/nghi-đinh-482024nđ-cp-sua-đoi-nghi-đinh-ve-đang-ky-bien-phap-bao-đam.docx"
"Luật Hôn nhân và Gia đình 2014","52/2014/QH13","19/06/2014","Luật Hôn nhân và Gia đình","Luật","documents/hon-nhan-gia-dinh/luat-hon-nhan-va-gia-đinh-2014.docx"
"Nghị định 126/2014/NĐ-CP hướng dẫn Luật Hôn nhân và Gia đình","126/2014/NĐ-CP","31/12/2014","Luật Hôn nhân và Gia đình","Nghị định","documents/hon-nhan-gia-dinh/nghi-đinh-1262014nđ-cp-huong-dan-luat-hon-nhan-va-gia-đinh.docx"
"Nghị định 10/2015/NĐ-CP quy định về sinh con bằng kỹ thuật thụ tinh trong ống nghiệm","10/2015/NĐ-CP","28/01/2015","Luật Hôn nhân và Gia đình","Nghị định","documents/hon-nhan-gia-dinh/nghi-đinh-102015nđ-cp-quy-đinh-ve-sinh-con-bang-ky-thuat-thu-tinh-trong-ong-nghi.docx"
"Thông tư liên tịch 01/2016/TTLT-TANDTC-VKSNDTC-BTP hướng dẫn thi hành Luật HNGĐ","01/2016/TTLT-TANDTC-VKSNDTC-BTP","06/01/2016","Luật Hôn nhân và Gia đình","Thông tư liên tịch","documents/hon-nhan-gia-dinh/thong-tu-lien-tich-012016ttlt-tandtc-vksndtc-btp-huong-dan-thi-hanh-luat-hngđ.docx"
"Luật Phòng, chống bạo lực gia đình 2022","13/2022/QH15","14/11/2022","Luật Hôn nhân và Gia đình","Luật","documents/hon-nhan-gia-dinh/luat-phong-chong-bao-luc-gia-đinh-2022.docx"
"Luật Đất đai 2024","31/2024/QH15","18/01/2024","Luật Đất đai","Luật","documents/dat-dai/luat-đat-đai-2024.docx"
"Nghị định 71/2024/NĐ-CP quy định về giá đất","71/2024/NĐ-CP","27/06/2024","Luật Đất đai","Nghị định","documents/dat-dai/nghi-đinh-712024nđ-cp-quy-đinh-ve-gia-đat.docx"
"Nghị định 102/2024/NĐ-CP hướng dẫn Luật Đất đai 2024","102/2024/NĐ-CP","30/07/2024","Luật Đất đai","Nghị định","documents/dat-dai/nghi-đinh-1022024nđ-cp-huong-dan-luat-đat-đai-2024.docx"
"Nghị định 101/2024/NĐ-CP về đăng ký đất đai, cấp Giấy chứng nhận","101/2024/NĐ-CP","29/07/2024","Luật Đất đai","Nghị định","documents/dat-dai/nghi-đinh-1012024nđ-cp-ve-đang-ky-đat-đai-cap-giay-chung-nhan.docx"
"Thông tư 02/2024/TT-BTNMT quy định kỹ thuật điều tra, đánh giá đất đai","02/2024/TT-BTNMT","15/04/2024","Luật Đất đai","Thông tư","documents/dat-dai/thong-tu-022024tt-btnmt-quy-đinh-ky-thuat-đieu-tra-đanh-gia-đat-đai.docx"
"Bộ luật Lao động 2019","45/2019/QH14","20/11/2019","Luật Lao động","Bộ luật","documents/lao-dong/bo-luat-lao-đong-2019.docx"
"Nghị định 145/2020/NĐ-CP hướng dẫn Bộ luật Lao động về điều kiện lao động","145/2020/NĐ-CP","14/12/2020","Luật Lao động","Nghị định","documents/lao-dong/nghi-đinh-1452020nđ-cp-huong-dan-bo-luat-lao-đong-ve-đieu-kien-lao-đong.docx"
"Nghị định 12/2022/NĐ-CP quy định xử phạt vi phạm hành chính trong lĩnh vực lao động","12/2022/NĐ-CP","17/01/2022","Luật Lao động","Nghị định","documents/lao-dong/nghi-đinh-122022nđ-cp-quy-đinh-xu-phat-vi-pham-hanh-chinh-trong-linh-vuc-lao-đon.docx"
"Nghị định 135/2020/NĐ-CP quy định về tuổi nghỉ hưu","135/2020/NĐ-CP","18/11/2020","Luật Lao động","Nghị định","documents/lao-dong/nghi-đinh-1352020nđ-cp-quy-đinh-ve-tuoi-nghi-huu.docx"
"Nghị định 38/2022/NĐ-CP quy định mức lương tối thiểu","38/2022/NĐ-CP","12/06/2022","Luật Lao động","Nghị định","documents/lao-dong/nghi-đinh-382022nđ-cp-quy-đinh-muc-luong-toi-thieu.docx"
